rodzaj_egzaminu;poziom_egzaminu;przedmiot;plec;rok;wartosc
pisemny;rozszerzony;jezyk ukrainski;ogolem;2015;97.7
pisemny;rozszerzony;matematyka;ogolem;2015;41.3
pisemny;rozszerzony;jezyk angielski;ogolem;2015;63.2
pisemny;rozszerzony;jezyk niemiecki;ogolem;2015;62.7
pisemny;rozszerzony;jezyk francuski;ogolem;2015;58.6
pisemny;rozszerzony;jezyk rosyjski;ogolem;2015;65.7
pisemny;rozszerzony;jezyk hiszpanski;ogolem;2015;58.5
pisemny;rozszerzony;jezyk wloski;ogolem;2015;69.5
pisemny;rozszerzony;wiedza o spoleczenstwie;ogolem;2015;26.5
pisemny;rozszerzony;geografia;ogolem;2015;41.5
pisemny;rozszerzony;biologia;ogolem;2015;43.0
pisemny;rozszerzony;chemia;ogolem;2015;51.7
pisemny;rozszerzony;historia;ogolem;2015;49.8
pisemny;rozszerzony;fizyka;ogolem;2015;43.8
pisemny;rozszerzony;historia muzyki;ogolem;2015;59.8
pisemny;rozszerzony;historia sztuki;ogolem;2015;45.0
pisemny;rozszerzony;filozofia;ogolem;2015;61.9
pisemny;rozszerzony;jezyk lacinski i kultura antyczna;ogolem;2015;56.1
pisemny;rozszerzony;informatyka;ogolem;2015;46.3
pisemny;rozszerzony;jezyk kaszubski;ogolem;2015;64.3
pisemny;rozszerzony;jezyk lemkowski;ogolem;2015;95.0
ustny;nie dotyczy;jezyk polski;kobiety;2015;67.1
ustny;nie dotyczy;jezyk angielski;kobiety;2015;71.7
ustny;nie dotyczy;jezyk niemiecki;kobiety;2015;68.7
ustny;nie dotyczy;jezyk francuski;kobiety;2015;80.5
ustny;nie dotyczy;jezyk rosyjski;kobiety;2015;68.2
ustny;nie dotyczy;jezyk hiszpanski;kobiety;2015;79.3
ustny;nie dotyczy;jezyk wloski;kobiety;2015;77.0
ustny;nie dotyczy;jezyk polski;mezczyzni;2015;64.0
ustny;nie dotyczy;jezyk angielski;mezczyzni;2015;73.5
ustny;nie dotyczy;jezyk niemiecki;mezczyzni;2015;67.2
ustny;nie dotyczy;jezyk francuski;mezczyzni;2015;80.5
ustny;nie dotyczy;jezyk rosyjski;mezczyzni;2015;63.6
ustny;nie dotyczy;jezyk hiszpanski;mezczyzni;2015;78.7
ustny;nie dotyczy;jezyk wloski;mezczyzni;2015;81.3
ustny;nie dotyczy;jezyk polski;ogolem;2015;66.0
ustny;nie dotyczy;jezyk angielski;ogolem;2015;72.4
ustny;nie dotyczy;jezyk niemiecki;ogolem;2015;68.3
ustny;nie dotyczy;jezyk francuski;ogolem;2015;80.5
ustny;nie dotyczy;jezyk rosyjski;ogolem;2015;66.9
ustny;nie dotyczy;jezyk hiszpanski;ogolem;2015;79.1
ustny;nie dotyczy;jezyk wloski;ogolem;2015;78.2
pisemny;podstawowy;jezyk polski;kobiety;2016;62.0
pisemny;podstawowy;jezyk bialoruski;kobiety;2016;73.5
pisemny;podstawowy;jezyk litewski;kobiety;2016;83.8
